"date_time","temp","hr","QI","lobster_id","temperature","date2"
"12/9/18 0:15",7,40,0,"IV11","11",2018-12-09 00:15:00
"12/9/18 0:18",12,39,0,"IV11","11",2018-12-09 00:18:00
"12/9/18 0:21",17,37,0,"IV11","11",2018-12-09 00:21:00
"12/9/18 0:24",17,35,0,"IV11","11",2018-12-09 00:24:00
"12/9/18 0:27",17,39,0,"IV11","11",2018-12-09 00:27:00
"12/9/18 0:30",17,38,0,"IV11","11",2018-12-09 00:30:00
"12/9/18 0:33",12,39,0,"IV11","11",2018-12-09 00:33:00
"12/9/18 0:36",7,37,0,"IV11","11",2018-12-09 00:36:00
"12/9/18 0:39",7,34,0,"IV11","11",2018-12-09 00:39:00
"12/9/18 0:42",7,39,0,"IV11","11",2018-12-09 00:42:00
"12/9/18 0:45",7,40,0,"IV11","11",2018-12-09 00:45:00
"12/9/18 0:48",7,36,0,"IV11","11",2018-12-09 00:48:00
"12/9/18 0:51",7,38,0,"IV11","11",2018-12-09 00:51:00
"12/9/18 0:54",7,37,0,"IV11","11",2018-12-09 00:54:00
"12/9/18 0:57",12,36,0,"IV11","11",2018-12-09 00:57:00
"12/9/18 1:00",14,34,0,"IV11","11",2018-12-09 01:00:00
"12/9/18 1:03",17,35,0,"IV11","11",2018-12-09 01:03:00
"12/9/18 1:06",7,35,0,"IV11","11",2018-12-09 01:06:00
"12/9/18 1:09",7,38,0,"IV11","11",2018-12-09 01:09:00
"12/9/18 1:12",7,31,0,"IV11","11",2018-12-09 01:12:00
"12/9/18 1:15",7,34,0,"IV11","11",2018-12-09 01:15:00
"12/9/18 1:18",7,35,0,"IV11","11",2018-12-09 01:18:00
"12/9/18 1:21",7,32,0,"IV11","11",2018-12-09 01:21:00
"12/9/18 1:24",7,1,3,"IV11","11",2018-12-09 01:24:00
"12/9/18 1:27",7,1,3,"IV11","11",2018-12-09 01:27:00
"12/9/18 1:30",7,0,3,"IV11","11",2018-12-09 01:30:00
"12/9/18 1:33",7,40,0,"IV11","11",2018-12-09 01:33:00
"12/9/18 1:36",14,42,0,"IV11","11",2018-12-09 01:36:00
"12/9/18 1:39",7,41,0,"IV11","11",2018-12-09 01:39:00
"12/9/18 1:42",7,39,0,"IV11","11",2018-12-09 01:42:00
"12/9/18 1:45",7,40,0,"IV11","11",2018-12-09 01:45:00
"12/9/18 1:48",7,39,0,"IV11","11",2018-12-09 01:48:00
"12/9/18 1:51",7,37,0,"IV11","11",2018-12-09 01:51:00
"12/9/18 1:54",7,37,0,"IV11","11",2018-12-09 01:54:00
"12/9/18 1:57",7,37,0,"IV11","11",2018-12-09 01:57:00
"12/9/18 2:00",7,35,0,"IV11","11",2018-12-09 02:00:00
"12/9/18 2:03",7,35,0,"IV11","11",2018-12-09 02:03:00
"12/9/18 2:06",7,35,0,"IV11","11",2018-12-09 02:06:00
"12/9/18 2:09",12,36,0,"IV11","11",2018-12-09 02:09:00
"12/9/18 2:12",17,35,0,"IV11","11",2018-12-09 02:12:00
"12/9/18 2:15",17,35,0,"IV11","11",2018-12-09 02:15:00
"12/9/18 2:18",17,0,3,"IV11","11",2018-12-09 02:18:00
"12/9/18 2:21",17,0,3,"IV11","11",2018-12-09 02:21:00
"12/9/18 2:24",17,0,2,"IV11","11",2018-12-09 02:24:00
"12/9/18 2:27",17,1,3,"IV11","11",2018-12-09 02:27:00
"12/9/18 2:30",28,42,0,"IV11","11",2018-12-09 02:30:00
"12/9/18 2:33",28,43,0,"IV11","11",2018-12-09 02:33:00
"12/9/18 2:36",28,40,0,"IV11","11",2018-12-09 02:36:00
"12/9/18 2:39",28,38,0,"IV11","11",2018-12-09 02:39:00
"12/9/18 2:42",28,38,0,"IV11","11",2018-12-09 02:42:00
"12/9/18 2:45",40,39,0,"IV11","11",2018-12-09 02:45:00
"12/9/18 2:48",40,37,0,"IV11","11",2018-12-09 02:48:00
"12/9/18 2:51",40,43,0,"IV11","11",2018-12-09 02:51:00
"12/9/18 2:54",40,41,0,"IV11","11",2018-12-09 02:54:00
"12/9/18 2:57",40,38,0,"IV11","11",2018-12-09 02:57:00
"12/9/18 3:00",42,38,0,"IV11","11",2018-12-09 03:00:00
"12/9/18 3:03",50,37,0,"IV11","11",2018-12-09 03:03:00
"12/9/18 3:06",50,36,0,"IV11","11",2018-12-09 03:06:00
"12/9/18 3:09",50,37,0,"IV11","11",2018-12-09 03:09:00
"12/9/18 3:12",50,38,0,"IV11","11",2018-12-09 03:12:00
"12/9/18 3:15",50,38,0,"IV11","11",2018-12-09 03:15:00
"12/9/18 3:18",50,39,0,"IV11","11",2018-12-09 03:18:00
"12/9/18 3:21",47,38,0,"IV11","11",2018-12-09 03:21:00
"12/9/18 3:24",40,38,0,"IV11","11",2018-12-09 03:24:00
"12/9/18 3:27",40,36,0,"IV11","11",2018-12-09 03:27:00
"12/9/18 3:30",42,37,0,"IV11","11",2018-12-09 03:30:00
"12/9/18 3:33",47,36,0,"IV11","11",2018-12-09 03:33:00
"12/9/18 3:36",50,37,0,"IV11","11",2018-12-09 03:36:00
"12/9/18 3:39",50,42,0,"IV11","11",2018-12-09 03:39:00
"12/9/18 3:42",50,42,0,"IV11","11",2018-12-09 03:42:00
"12/9/18 3:45",50,37,0,"IV11","11",2018-12-09 03:45:00
"12/9/18 3:48",50,35,0,"IV11","11",2018-12-09 03:48:00
